Freq.	V(vout3)
1.23026877081237e+003	(3.05134498889881e+000dB,-1.60289368734473e+002°)
1.25892541179416e+003	(3.05663685625713e+000dB,-1.62660189503382e+002°)
1.28824955169313e+003	(3.04527022572180e+000dB,-1.64986293280799e+002°)
1.31825673855640e+003	(3.01830568332100e+000dB,-1.67261553573699e+002°)
1.34896288259165e+003	(2.97684856603575e+000dB,-1.69480981877649e+002°)
1.38038426460288e+003	(2.92201958165118e+000dB,-1.71640689539120e+002°)
1.41253754462275e+003	(2.85492919842670e+000dB,-1.73737817783657e+002°)
1.44543977074592e+003	(2.77665638226780e+000dB,-1.75770444829475e+002°)
1.47910838816820e+003	(2.68823185900996e+000dB,-1.77737478648955e+002°)
1.51356124843620e+003	(2.59062575986217e+000dB,-1.79638542960098e+002°)
1.54881661891247e+003	(2.48473927987210e+000dB,1.78526137305464e+002°)
1.58489319246110e+003	(2.37139983893899e+000dB,1.76755846271381e+002°)
1.62181009735892e+003	(2.25135916971243e+000dB,1.75049479747586e+002°)
1.65958690743755e+003	(2.12529374972934e+000dB,1.73405638100485e+002°)
1.69824365246173e+003	(1.99380702881918e+000dB,1.71822708274259e+002°)
1.73780082874936e+003	(1.85743296149422e+000dB,1.70298934677801e+002°)
1.77827941003891e+003	(1.71664042506942e+000dB,1.68832479234411e+002°)
1.81970085860997e+003	(1.57183817829892e+000dB,1.67421471282854e+002°)
1.86208713666286e+003	(1.42338008611370e+000dB,1.66064048254082e+002°)
1.90546071796323e+003	(1.27157039986785e+000dB,1.64758388163673e+002°)
1.94984459975803e+003	(1.11666893754585e+000dB,1.63502734988581e+002°)
1.99526231496887e+003	(9.58896054184290e-001dB,1.62295417965628e+002°)
2.04173794466952e+003	(7.98437329709021e-001dB,1.61134865780112e+002°)
2.08929613085403e+003	(6.35447930375628e-001dB,1.60019616522837e+002°)
2.13796208950222e+003	(4.70056622112604e-001dB,1.58948324194483e+002°)
2.18776162394954e+003	(3.02369430477364e-001dB,1.57919762436017e+002°)
2.23872113856832e+003	(1.32472953724823e-001dB,1.56932826067969e+002°)
2.29086765276776e+003	(-3.95626563568091e-002dB,1.55986530933040e+002°)
2.34422881531991e+003	(-2.13681025834353e-001dB,1.55080012457199e+002°)
2.39883291901947e+003	(-3.89837178976390e-001dB,1.54212523274675e+002°)
2.45470891568501e+003	(-5.67995422572825e-001dB,1.53383430201905e+002°)
2.51188643150956e+003	(-7.48127468616984e-001dB,1.52592210793794e+002°)
2.57039578276885e+003	(-9.30210769850453e-001dB,1.51838449671922e+002°)
2.63026799189536e+003	(-1.11422704327238e+000dB,1.51121834777402e+002°)
2.69153480392690e+003	(-1.30016095758974e+000dB,1.50442153670283e+002°)
2.75422870333815e+003	(-1.48799896160818e+000dB,1.49799289971390e+002°)
2.81838293126443e+003	(-1.67772823161049e+000dB,1.49193220020889e+002°)
