Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
3.01995172040199e+003	(2.66337737902712e+000dB,-1.67877809452857e+001°)
3.09029543251357e+003	(2.53612382014952e+000dB,-1.72323624767743e+001°)
3.16227766016836e+003	(2.40704432313009e+000dB,-1.76479694131012e+001°)
3.23593656929626e+003	(2.27619013081346e+000dB,-1.80341871230404e+001°)
3.31131121482589e+003	(2.14361647939673e+000dB,-1.83905554723032e+001°)
3.38844156139200e+003	(2.00938330345520e+000dB,-1.87165703585850e+001°)
3.46736850452529e+003	(1.87355594315625e+000dB,-1.90116853784028e+001°)
3.54813389233573e+003	(1.73620585880416e+000dB,-1.92753136470149e+001°)
3.63078054770099e+003	(1.59741135746007e+000dB,-1.95068298000559e+001°)
3.71535229097170e+003	(1.45725833587125e+000dB,-1.97055722130426e+001°)
3.80189396320558e+003	(1.31584104329962e+000dB,-1.98708454826326e+001°)
3.89045144994278e+003	(1.17326286703613e+000dB,-2.00019232214327e+001°)
3.98107170553494e+003	(1.02963714239263e+000dB,-2.00980512262179e+001°)
4.07380277804110e+003	(8.85087987743307e-001dB,-2.01584510875209e+001°)
4.16869383470332e+003	(7.39751163704142e-001dB,-2.01823243165515e+001°)
4.26579518801589e+003	(5.93774953753150e-001dB,-2.01688570730630e+001°)
4.36515832240162e+003	(4.47321061463513e-001dB,-2.01172255847881e+001°)
4.46683592150960e+003	(3.00565517008417e-001dB,-2.00266023550143e+001°)
4.57088189614871e+003	(1.53699582666219e-001dB,-1.98961632592139e+001°)
4.67735141287194e+003	(6.93064368089839e-003dB,-1.97250956337423e+001°)
4.78630092322634e+003	(-1.39516932992509e-001dB,-1.95126074586497e+001°)
4.89778819368442e+003	(-2.85400993795382e-001dB,-1.92579377316888e+001°)
5.01187233627268e+003	(-4.30460873929872e-001dB,-1.89603681205524e+001°)
5.12861383991361e+003	(-5.74416784367820e-001dB,-1.86192359640341e+001°)
5.24807460249768e+003	(-7.16969347058777e-001dB,-1.82339486689169e+001°)
5.37031796370248e+003	(-8.57799320045694e-001dB,-1.78039995166560e+001°)
5.49540873857620e+003	(-9.96567559067893e-001dB,-1.73289848511636e+001°)
5.62341325190344e+003	(-1.13291526646796e+000dB,-1.68086225652699e+001°)
5.75439937337152e+003	(-1.26646458138436e+000dB,-1.62427717381750e+001°)
5.88843655355584e+003	(-1.39681956678629e+000dB,-1.56314531995278e+001°)
6.02559586074353e+003	(-1.52356764830379e+000dB,-1.49748707086109e+001°)
6.16595001861477e+003	(-1.64628155639608e+000dB,-1.42734323415784e+001°)
6.30957344480188e+003	(-1.76452181656149e+000dB,-1.35277715792304e+001°)
6.45654229034650e+003	(-1.87783982146247e+000dB,-1.27387674874119e+001°)
6.60693448007590e+003	(-1.98578150361066e+000dB,-1.19075632883917e+001°)
6.76082975391976e+003	(-2.08789160745122e+000dB,-1.10355825425958e+001°)
6.91830970918931e+003	(-2.18371853547600e+000dB,-1.01245421050970e+001°)
7.07945784384132e+003	(-2.27281971497257e+000dB,-9.17646100008260e+000°)
7.24435960074984e+003	(-2.35476740128264e+000dB,-8.19366437859517e+000°)
7.41310241300911e+003	(-2.42915480161917e+000dB,-7.17878179812402e+000°)
7.58577575029177e+003	(-2.49560237268654e+000dB,-6.13473919229252e+000°)
7.76247116628685e+003	(-2.55376411804357e+000dB,-5.06474408603320e+000°)
7.94328234724275e+003	(-2.60333369000357e+000dB,-3.97226385219265e+000°)
8.12830516164092e+003	(-2.64405008843934e+000dB,-2.86099708958918e+000°)
8.31763771102664e+003	(-2.67570274730915e+000dB,-1.73483851452050e+000°)
8.51138038202369e+003	(-2.69813581046162e+000dB,-5.97838077039755e-001°)
8.70963589956073e+003	(-2.71125142172828e+000dB,5.45844683786475e-001°)
8.91250938133738e+003	(-2.71501188971215e+000dB,1.69198976955647e+000°)
9.12010839355902e+003	(-2.70944063305812e+000dB,2.83636786286113e+000°)
9.33254300796983e+003	(-2.69462186431365e+000dB,3.97479188731117e+000°)
9.54992586021428e+003	(-2.67069902594660e+000dB,5.10316737199400e+000°)
9.77237220955802e+003	(-2.63787204652103e+000dB,6.21754007538937e+000°)
9.99999999999991e+003	(-2.59639353439323e+000dB,7.31413948213052e+000°)
1.02329299228075e+004	(-2.54656406710692e+000dB,8.38941701790900e+000°)
1.04712854805089e+004	(-2.48872676439390e+000dB,9.44007811274824e+000°)
1.07151930523760e+004	(-2.42326134994268e+000dB,1.04631075568610e+001°)
1.09647819614318e+004	(-2.35057791170828e+000dB,1.14557879118260e+001°)
1.12201845430195e+004	(-2.27111056343886e+000dB,1.24157110404242e+001°)
1.14815362149687e+004	(-2.18531119310462e+000dB,1.33407830828487e+001°)
1.17489755493952e+004	(-2.09364345942822e+000dB,1.42292234222940e+001°)
1.20226443461740e+004	(-1.99657716837786e+000dB,1.50795583421219e+001°)
1.23026877081237e+004	(-1.89458312989516e+000dB,1.58906101784901e+001°)
1.25892541179416e+004	(-1.78812856360982e+000dB,1.66614828197298e+001°)
1.28824955169312e+004	(-1.67767309272119e+000dB,1.73915444036055e+001°)
1.31825673855640e+004	(-1.56366533896838e+000dB,1.80804080247068e+001°)
1.34896288259164e+004	(-1.44654010951250e+000dB,1.87279111963720e+001°)
1.38038426460287e+004	(-1.32671614899252e+000dB,1.93340947243449e+001°)
1.41253754462274e+004	(-1.20459441697649e+000dB,1.98991815515569e+001°)
1.44543977074591e+004	(-1.08055684221174e+000dB,2.04235560324033e+001°)
1.47910838816819e+004	(-9.54965499983441e-001dB,2.09077439964454e+001°)
1.51356124843619e+004	(-8.28162156922280e-001dB,2.13523938698581e+001°)
1.54881661891247e+004	(-7.00468128124317e-001dB,2.17582590408957e+001°)
1.58489319246110e+004	(-5.72184393846537e-001dB,2.21261815846861e+001°)
1.62181009735891e+004	(-4.43591926762624e-001dB,2.24570774032716e+001°)
1.65958690743755e+004	(-3.14952185323870e-001dB,2.27519227887477e+001°)
1.69824365246173e+004	(-1.86507733774334e-001dB,2.30117423798361e+001°)
1.73780082874936e+004	(-5.84829545050917e-002dB,2.32375984541730e+001°)
1.77827941003891e+004	(6.89151765334279e-002dB,2.34305814787462e+001°)
1.81970085860997e+004	(1.95496275874692e-001dB,2.35918018279735e+001°)
1.86208713666285e+004	(3.21085720156455e-001dB,2.37223825716350e+001°)
1.90546071796323e+004	(4.45523811484139e-001dB,2.38234532320852e+001°)
1.94984459975803e+004	(5.68664953211190e-001dB,2.38961444108572e+001°)
1.99526231496886e+004	(6.90376845782168e-001dB,2.39415831880321e+001°)
2.04173794466951e+004	(8.10539709702547e-001dB,2.39608892028405e+001°)
2.08929613085402e+004	(9.29045540532994e-001dB,2.39551713302769e+001°)
2.13796208950221e+004	(1.04579739901934e+000dB,2.39255248755405e+001°)
2.18776162394953e+004	(1.16070873802084e+000dB,2.38730292154944e+001°)
2.23872113856832e+004	(1.27370276674941e+000dB,2.37987458237557e+001°)
2.29086765276775e+004	(1.38471185193866e+000dB,2.37037166232798e+001°)
2.34422881531990e+004	(1.49367695488915e+000dB,2.35889626172213e+001°)
2.39883291901947e+004	(1.60054710284805e+000dB,2.34554827553454e+001°)
2.45470891568501e+004	(1.70527889284851e+000dB,2.33042529992490e+001°)
2.51188643150956e+004	(1.80783602592658e+000dB,2.31362255551080e+001°)
2.57039578276884e+004	(1.90818886952947e+000dB,2.29523282475716e+001°)
2.63026799189536e+004	(2.00631404590573e+000dB,2.27534640127916e+001°)
2.69153480392689e+004	(2.10219404430771e+000dB,2.25405104924113e+001°)
2.75422870333814e+004	(2.19581685492486e+000dB,2.23143197136833e+001°)
2.81838293126443e+004	(2.28717562258973e+000dB,2.20757178437574e+001°)
2.88403150312658e+004	(2.37626831844444e+000dB,2.18255050086219e+001°)
2.95120922666636e+004	(2.46309742791859e+000dB,2.15644551692330e+001°)
3.01995172040199e+004	(2.54766965353843e+000dB,2.12933160490541e+001°)
3.09029543251356e+004	(2.62999563125875e+000dB,2.10128091086056e+001°)
3.16227766016835e+004	(2.71008965917723e+000dB,2.07236295637115e+001°)
3.23593656929625e+004	(2.78796943765229e+000dB,2.04264464449770e+001°)
3.31131121482588e+004	(2.86365581999735e+000dB,2.01219026966586e+001°)
