Freq.	V(vout3)+V(vout2)+V(vout1)
3.01995172040199e+003	(7.26348123764236e+000dB,1.59978951900034e+002°)
3.09029543251357e+003	(7.18415281975312e+000dB,1.60311850228984e+002°)
3.16227766016836e+003	(7.10763145509694e+000dB,1.60651234614865e+002°)
3.23593656929626e+003	(7.03384843676638e+000dB,1.60996407756965e+002°)
3.31131121482589e+003	(6.96273566395273e+000dB,1.61346725692683e+002°)
3.38844156139200e+003	(6.89422597144893e+000dB,1.61701594019502e+002°)
3.46736850452529e+003	(6.82825340464252e+000dB,1.62060464271647e+002°)
3.54813389233573e+003	(6.76475344539549e+000dB,1.62422830459770e+002°)
3.63078054770099e+003	(6.70366319386386e+000dB,1.62788225779656e+002°)
3.71535229097170e+003	(6.64492151099658e+000dB,1.63156219493863e+002°)
3.80189396320558e+003	(6.58846912614465e+000dB,1.63526413988229e+002°)
3.89045144994278e+003	(6.53424871392121e+000dB,1.63898442003464e+002°)
3.98107170553494e+003	(6.48220494416676e+000dB,1.64271964040425e+002°)
4.07380277804110e+003	(6.43228450859292e+000dB,1.64646665936223e+002°)
4.16869383470332e+003	(6.38443612740234e+000dB,1.65022256607067e+002°)
4.26579518801589e+003	(6.33861053891073e+000dB,1.65398465952594e+002°)
4.36515832240162e+003	(6.29476047492623e+000dB,1.65775042915515e+002°)
4.46683592150960e+003	(6.25284062438083e+000dB,1.66151753689589e+002°)
4.57088189614871e+003	(6.21280758744729e+000dB,1.66528380068321e+002°)
4.67735141287194e+003	(6.17461982212767e+000dB,1.66904717926278e+002°)
4.78630092322634e+003	(6.13823758505373e+000dB,1.67280575824633e+002°)
4.89778819368442e+003	(6.10362286801137e+000dB,1.67655773732299e+002°)
5.01187233627268e+003	(6.07073933147796e+000dB,1.68030141854024e+002°)
5.12861383991361e+003	(6.03955223625459e+000dB,1.68403519556849e+002°)
5.24807460249768e+003	(6.01002837408090e+000dB,1.68775754386530e+002°)
5.37031796370248e+003	(5.98213599794405e+000dB,1.69146701165795e+002°)
5.49540873857620e+003	(5.95584475262319e+000dB,1.69516221166693e+002°)
5.62341325190344e+003	(5.93112560587160e+000dB,1.69884181349696e+002°)
5.75439937337152e+003	(5.90795078049965e+000dB,1.70250453662762e+002°)
